19,56,0
32,37,0
5,96,0
34,97,0
24,35,0
79,30,0
65,33,0
11,63,0
72,48,0
83,64,0
82,85,0
43,80,0
11,48,0
39,77,0
73,104,0
71,75,0
35,78,0
79,92,0
8,21,0
40,72,0
39,100,0
83,87,0
83,61,0
83,48,0
16,99,0
52,84,0
19,67,0
71,54,0
85,65,0
4,27,0
0,64,0
83,43,0
58,66,0
42,21,0
82,50,0
13,73,0
81,26,0
8,77,0
28,58,0
56,68,0
30,41,0
55,53,0
53,94,0
36,37,0
80,99,1
51,96,0
35,55,0
45,29,0
73,26,0
36,39,0
9,49,0
10,93,0
55,73,0
29,68,0
85,85,0
18,62,0
36,99,0
82,99,1
59,41,0
67,108,0
71,67,0
70,32,0
65,23,0
39,76,0
8,93,0
54,97,0
23,85,0
22,81,0
9,21,0
42,100,0
32,71,0
12,35,0
63,82,0
78,45,0
56,56,0
35,25,0
37,98,0
85,90,0
2,27,0
13,81,0
67,102,0
73,97,0
66,87,0
82,46,0
61,78,0
54,23,0
51,58,0
54,47,0
74,101,0
42,101,0
39,80,0
29,45,0
19,41,0
3,102,0
29,102,0
44,103,0
62,62,0
22,101,0
73,44,0
45,21,0
63,63,0
16,96,0
45,98,0
11,63,0
7,99,0
32,101,0
13,23,0
26,63,0
38,46,0
50,32,0
59,100,0
58,27,0
17,81,0
81,81,0
50,96,0
25,20,0
84,28,0
72,61,0
50,67,0
58,101,0
24,53,0
37,61,0
62,91,0
25,93,0
76,90,0
81,42,0
58,35,0
2,71,0
6,102,0
49,108,0
23,74,0
56,84,0
82,60,0
78,22,0
3,84,0
2,55,0
24,39,0
40,104,0
65,78,0
13,67,0
61,49,0
30,54,0
22,100,0
34,102,0
35,103,0
30,57,0
9,70,0
54,94,0
8,107,0
26,77,0
27,45,0
80,109,1
73,32,0
66,38,0
16,35,0
36,107,0
1,57,0
1,89,0
48,72,0
78,60,0
61,30,0
26,63,0
83,30,0
13,71,0
6,35,0
29,35,0
28,76,0
71,76,0
85,110,1
23,66,0
62,91,0
70,42,0
1,34,0
54,99,0
23,105,0
29,59,0
71,77,0
20,38,0
82,105,1
73,64,0
57,83,0
19,72,0
10,42,0
35,37,0
26,87,0
50,79,0
32,21,0
73,67,0
3,103,0
34,30,0
19,87,0
18,72,0
17,39,0
13,87,0
30,90,0
85,56,0
29,92,0
11,56,0
77,51,0
24,78,0
22,105,0
32,66,0
71,29,0
70,103,0
76,63,0
69,77,0
44,28,0
24,72,0
80,102,0
13,98,0
